sentence,splitset_label
after thatit just gets stupid and maudlin ,2
too badbut thanks to some lovely comedic moments and several fine performancesitnot a total loss ,2
chao was chen kaigeassistant for years in china ,2
he has not learnt that storytelling is what the movies are about ,2
a mixed bag of a comedy that ca nt really be described as out of this world ,2
the film is a travesty of the genre and even as spoof takes itself too seriously ,2
marries the amateurishness of the blair witch project with the illogic of series the contenders to create a completely crass and forgettable movie ,2
the piano teacher is the sort of movie that discourages american audiences from ever wanting to see another foreign film ,2
if itanother regurgitated action movie you re afterthereno better film than half past dead ,2
so what is the point ,2
lovingly choreographed bloodshed taking place in a pristine movie neverlandbasically ,2
this is junk food cinema at its greasiest ,2
when itall wetblue crush is highly enjoyable ,2
when iton dry landthoughthis surfergirl melodrama starts gasping like a beached grouper ,2
most new movies have a bright sheen ,2
somelike ballisticarrive stillbornlooking like the beatenwellworn video box cover of seven years into the future ,2
the story is naturally poignantbut firsttime screenwriter paul pender overloads it with sugary bits of business ,2
you see robert de niro singingand dancing towest side story show tunes ,2
choose your reactiona rrb that sure is funny ,2
b rrb that sure is pathetic ,2
a sermonizing and lifeless paean to teenage dullards ,2
this dramatically shaky contest of wills only reiterates the old hollywood sawevil is interesting and good is boring ,2
before longthe film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon ,2
the charms of willful eccentricityat least as evidenced by this latest cinematic essayare beginning to wear a bit thin ,2
instead of accurately accounting a terrible true storythe filmmore determined to become the next texas chainsaw massacre ,2
but what about the countless other people who d merely like to watch a solid tale about a universally interesting soul ,2
a sillyselfindulgent film about a sillyselfindulgent filmmaker ,2
scarlet diva has a voyeuristic tugbut all in all ita lot less sensational than it wants to be ,2
the character is too forced and overwritten to be funny or believable much of the timeand clayburgh does nt always improve the overthetop mix ,2
flashypretentious and as impenetrable as morvernthickworkingclass scottish accent ,2
a battle between bugeye theatre and deadeye matinee ,1
the movie is virtually without contextjournalistic or historical ,1
whatworse is that pelosi knows it ,1
 instead go rentshakes the clown a much funnier film with a similar theme and an equally great robin williams performance ,1
lamehaphazard teen comedy ,2
itthe kind of movie that ends up festooning us art house screens for no reason other than the fact that itin french lrb wellmostly rrb with english subtitles and is magicallysignificantbecause of that ,2
this miserable excuse of a movie runs on emptybelieving flatbush machismo will get it through ,2
expect to be reminded of otherbetter filmsespecially sevenwhich director william malone slavishly copies ,2
nair stuffs the film with dancinghennaornamentationand group songbut her narrative clichs and telegraphed episodes smell of old soap opera ,2
itgetting harder and harder to ignore the fact that hollywood is nt laughing with usfolks ,2
itlaughing at us ,2
might have been better off as a documentarywith less of mr eyreuninspired dramatics and more of his sense of observation and outrage ,2
every good actor needs to do his or her own hamlet ,2
for benigni it was nt shakespeare whom he wanted to define his career with but pinocchio ,2
it might as well have been problem child iv ,2
arnoldjump from little screen to big will leave frowns on more than a few faces ,2
