sentence,splitset_label
a battle between bugeye theatre and deadeye matinee ,1
the movie is virtually without contextjournalistic or historical ,1
whatworse is that pelosi knows it ,1
 instead go rentshakes the clown a much funnier film with a similar theme and an equally great robin williams performance ,1
if the title is a jeopardy questionthen the answer might behow does steven seagal come across these days,1
or maybehow will you feel after an minute ripoff of the rock with action confined to slomo gun firing and random glassshattering,1
the appeal of the vulgarsexistracist humour went over my head orconsidering just how low brow it isperhaps it snuck under my feet ,1
the story really has no place to go since simone is not realshe ca nt provide any conflict ,1
firsttime director joo pedro rodriguesunwillingness to define his herobackground or motivations becomes more and more frustrating as the film goes on ,1
 interviewloses its overall sense of mystery and becomes a tv episode rather than a documentary that you actually buy into ,1
 unfaithfulcheats on itself and retreats to comfortable territory ,1
too bad ,1
thoughtlessrandomsuperficial humour and a lot of very bad scouse accents,1
plays like one of those conversations that comic book guy onthe simpsonshas ,1
 juwanna mann,1
no thanks ,1
wewannour money backactually ,1
newcomer helmer kevin donovan is hamstrung by a badly handled screenplay of what is really an amusing concepta hightech tux that transforms its wearer into a superman ,1
should nt have been allowed to use the wordnewin its titlebecause therenot an original charactersiuation or joke in the entire movie ,1
often sillyand grossbut itrarely as moronic as some campus grossout films ,1
the advantage of a postapocalyptic setting is that it can be made on the cheap ,1
any rock pile will do for a set ,1
reign of fire has the disadvantage of also looking cheap ,1
britneyperformance can not be faulted ,1
lucya dull girlthatall ,1
i admire it and yet can not recommend itbecause it overstays its natural running time ,1
ita bad sign when you re rooting for the film to hurry up and get to its subjectsdeaths just so the documentary will be overbut itindicative of how uncompelling the movie is unless it happens to cover your particular area of interest ,1
stephen earnhartdocumentary is a decomposition of healthy eccentric inspiration and ambitionwearing a cloak of unsentimentalstraightforward textwhen itreally an exercise in gross romanticization of the delusional personality type ,1
a semiautobiographical film thatso sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer had anything to do with it ,1
the movie barely makes sensewith its unbelievable navet and arbitrary flashbacks ,1
pumpkin struts about withcouragepinned to its huckster lapel while a yellow streak a mile wide decorates its back ,1
build some robotshaul em to the theatre with you for the late showand put on your own mystery science theatretribute to what is almost certainly going to go down as the worstand onlykiller website movie of this or any other year ,1
 has about th the fun of its sprypredecessorbut ita rushedslapdashsequelforthesakeofasequel with less than half the plot and ingenuity ,1
ittough to tell which is in more abundant supply in this woefully hackneyed moviedirected by scott kalvertabout street gangs and turf wars inbrooklynstale clichesgratuitous violenceor empty machismo ,1
gooding and coburn are both oscar winnersa fact whichas you watch them clumsily mugging their way through snow dogsseems inconceivable ,1
at every opportunity to do something cleverthe film goes right over the edge and kills every sense of believabilityall you have left is a nosurprise series of explosions and violence while banderas looks like henot trying to laugh at how bad it,1
 pitifulslapdash disaster ,1
a doa dud from frame one ,1
jawdroppingly superficialstraining to get by on humor that is not even as daring as john ritterglory days on threecompany ,1
there are plenty of scenes in frida that do workbut rarely do they involve the title character herself ,1
although god is great addresses interesting matters of identity and heritageithard to shake the feeling that it was intended to be a different kind of film ,1
the dark and bittersweet twist feels strange as things turn nasty and tragic during the final third of the film ,1
firsttimer john mckay is never able to pull it back on course ,1
distances you by throwing out so many red herringsso many false scaresthat the genuine ones barely register ,1
godard uses his charactersif thatnot too glorified a termas art thingsmouthpiecesvisual motifsblanks ,1
the movie generates plot points with a degree of randomness usually achieved only by lottery drawing ,1
a predictablemanipulative stinker ,1
the story passes time until ittime for an absurd finale of twisted metalfireballs and revenge ,1
eastwood wincesclutches his chest and gasps for breath ,1
ita spectacular performanceahemwe hope itonly acting ,1
the movie suffers from two fatal ailmentsa dearth of vitality and a story thatshapeless and uninflected ,1
itjust weirdness for the sake of weirdnessand where human nature should be ingratiatingitjust grating ,1
an ambitiously naturalisticalbeit halfbakeddrama about an abusedinnercity autistic teen ,1
once she lets her love depraved leads meetlrb denisrrb story becomes a hopelessunsatisfying muddle,1
the dose is strong and funnyfor the firstminutes anywayafter thatthe potency wanes dramatically ,1
the people in abc africa are treated as docilemostly wordless ethnographic extras ,1
whatreally sad is to see two academy award winning actresses lrb and one academy award winning actor rrb succumb to appearing in this junk thattv sitcom material at best ,1
no doubt the star and everyone else involved had their hearts in the right place ,1
where their heads were is anyoneguess ,1
call me a cynicbut theresomething awfully deadly about any movie with a lifeaffirming message ,1
a gratingly unfunny groaner littered with zerodimensionalunlikable characters and hackneyedthreadbare comic setups ,1
got some goodorganic character worklots of obvious political insights and little room for engagingimaginative filmmaking in its nearly hourdissipated length ,1
a painfully slow clicheridden film filled with more holes than clyde barrowcar ,1
like leafing through an album of photos accompanied by the sketchiest of captions ,1
i guess it just goes to show that if you give a filmmaker an unlimited amount of phony bloodnothing good can happen ,1
gaghan captures the halflitsometimes creepy intimacy of college dorm roomsa subtlety that makes the sillyoverthetop coda especially disappointing ,1
feels less like a change in lrb herzogrrb personal policy than a halfhearted fluke ,1
one of the most unpleasant things the studio has ever produced ,1
will anyone who is nt a fangoria subscriber be excited that it has nt gone straight to video ,1
a selection of scenes in search of a movie ,1
lrb janey rrb forgets about her other obligationsleading to a tragedy which is somehow guessable from the first few minutesmaybe because it echoes the by now intolerable morbidity of so many recent movies ,1
will undoubtedly play well in european marketswhere mr besson is a brand nameand in asiawhere ms shu is an institutionbut american audiences will probably find it familiar and insufficiently cathartic ,1
true to its animatronic roots as stiffponderous and charmless as a mechanical apparatus the country bearsshould never have been brought out of hibernation ,1
lrb evans is rrb a fascinating characterand deserves a better vehicle than this facetious smirk of a movie ,1
the scriptjudgment and sense of weight is wayway off ,1
you come away wishingthoughthat the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency thatat the center of the story ,1
evelyn may be based on a true and historically significant storybut the filmmakers have made every effort to disguise it as an unimaginative screenwriterinvention ,1
a derivative collection of horror and scifi cliches ,1
loosely speakingwe re in all of me territory againandstrictly speakingschneider is no steve martin ,1
as aimless as an old pickup skidding completely out of control on a long patch of black icethe movie makes two hours feel like four ,1
limps along on a squirminducing fishoutofwater formula that goes nowhere and goes there veryvery slowly ,1
just the sort of lazy tearjerker that gives movies about ordinary folk a bad name ,1
the redeeming feature of chanfilms has always been the actionbut the stunts in the tuxedo seem tired andwhatworseroutine ,1
while the importance of being earnest offers opportunities for occasional smiles and chucklesit does nt give us a reason to be in the theater beyond wildewit and the actorsperformances ,1
has all the scenic appeal of a cesspool ,1
a rambling ensemble piece with loosely connected characters and plots that never quite gel ,1
a lifetime movie about men ,1
the balkans provide the obstacle course for the love of a good woman ,1
ithard to say who might enjoy thisare there tolstoy groupies out there ,1
itdark and tragicand lets the business of the greedy talent agents get in the way of saying something meaningful about facing death,1
this is a movie that starts out like heathersthen becomes bring it onthen becomes unwatchable ,1
the screenplay flounders under the weight of too many story lines ,1
i think it was plato who said i thinktherefore i know better than to rush to the theatre for this one,1
if damon and affleck attempt another project greenlightnext time out they might try paying less attention to the miniseries and more attention to the film it is about ,1
this is rote drivel aimed at mom and dadwallet ,1
contrivedmaudlin and clicheriddenif this sappy script was the best the contest receivedthose rejected must have been astronomically bad ,1
i hate the feeling of having been slimed in the name of high art ,1
this is more a case ofsacre bleu,1
thanmagnifique,1
the kids in the audience at the preview screening seemed boredcheering the pratfalls but little elsetheir parentswise folks that they areread books ,1
whether jason x is this bad on purpose is never clear ,1
but one thingfor sureit never comes close to being either funny or scary ,1
yet another weepy southern boreathon ,1
i like all four of the lead actors a lot and they manage to squeeze a few laughs out of the materialbut they re treading water at best in this forgettable effort ,1
perhaps the most annoying thing about who is cletis tout ,1
is that ita crime movie made by someone who obviously knows nothing about crime ,1
except as an acting exercise or an exceptionally dark jokeyou wonder what anyone saw in this film that allowed it to get made ,1
this insufferable movie is meant to make you think about existential suffering ,1
insteadit ll only put you to sleep ,1
who is this movie for ,1
not kidswho do nt need the lesson in repugnance ,1
italso not smart or barbed enough for older viewersnot everyone thinks poopoo jokes areedgy,1
a sleepinducingly slowpaced crime drama with clumsy dialogueheavyhanded phoneyfeeling sentimentand an overlyfamiliar set of plot devices ,1
itso tedious that it makes you forgive every fakedishonestentertaining andultimatelymore perceptive moment in bridget jonesdiary ,1
almost as offensive asfreddy got fingered,1
the gifted crudup has the perfect face to play a handsome blank yearning to find himselfand his cipherlike personality and bad behavior would play fine if the movie knew what to do with him ,1
it is depressingruthlessly pained and depravedthe movie equivalent of staring into an open wound ,1
ponderousplodding soap opera disguised as a feature film ,1
coldpretentiousthoroughly dislikable study in sociopathy ,1
for the futureone hopes mr plympton will find room for one more member of his little banda professional screenwriter ,1
a cheap scam put together by some cynical creeps at revolution studios and imagine entertainment to make the suckers out there surrender andminutes of unrecoverable life ,1
reign of fire never comes close to recovering from its demented premisebut it does sustain an enjoyable level of ridiculousness ,1
human nature is a goofball moviein the way that malkovich wasbut it tries too hard ,1
originality is sorely lacking ,1
the plotclearly mythic structure may owe more to disneystrong sense of formula than to the original story ,1
but while the highly predictable narrative falls shorttreasure planet is truly gorgeous to behold ,1
though there are entertaining and audacious momentsthe moviewildly careening tone and an extremely flat lead performance do little to salvage this filmmakerflailing reputation ,1
ram dass fierce grace moulds itself as an example to upandcoming documentariansof the overlooked pitfalls of such an endeavour ,1
lucky break is perfectly inoffensive and harmlessbut italso drab and inert ,1
for a story set at seaghost ship is pretty landboundwith its leaden actingdull exposition and telegraphedsurprises,1
there might be some sort of credible genderprovoking philosophy submerged herebut who the hell cares ,1
nothing more than a stifling morality tale dressed up in peekaboo clothing ,1
i like my christmas movies with more elves and snow and less pimps and ho,1
it all seemed wasted like deniroonce promising career and the once grand long beach boardwalk ,1
lrb i rrb tcertainly laudable that the movie deals with hotbutton issues in a comedic contextbut barbershop is nt as funny as it should be ,1
unfortunatelya cast of competent performers from moviestelevision and the theater are cast adrift in various new york city locations with no unifying rhythm or visual style ,1
just entertaining enough not to hatetoo mediocre to love ,1
 sophisticatedviewers who refuse to admit that they do nt like it will likely call itchallengingto their fellow sophisticates ,1
equilibrium the movieas opposed to the manifestois reallyreally stupid ,1
excruciatingly unfunny and pitifully unromantic ,1
the filmthoroughly recycled plot and tiresome jokesdrag the movie down ,1
it does nt offer audiences any way of gripping what its point isor even its attitude toward its subject ,1
this kiddieoriented stinker is so bad that i even caught the gum stuck under my seat trying to sneak out of the theater,1
though impostor deviously adopts the guise of a modern motion pictureit too is a bomb ,1
cox offers plenty of glimpses at existing photosbut there are no movies of nijinskyso instead the director treats us to an aimless hodgepodge ,1
every note rings false ,1
when the screenwriter responsible for one of the worst movies of one year directs an equally miserable film the following yearyou d have a hard time believing it was just coincidence ,1
it never rises to its clever whatif concept ,1
admirably ambitious but selfindulgent ,1
this story of unrequited love does nt sustain interest beyond the first halfhour ,1
this angstridden territory was covered earlier and much better in ordinary people ,1
the entire film is one big excuse to play one lewd scene after another ,1
about half of them are funnya few are sexy and none are useful in telling the storywhich is paperthin and decidedly unoriginal ,1
a bigloudbangthedrum bore ,1
lrb less a movie than rrb an appallingodoriferous thingso rotten in almost every single facet of production that you ll want to crawl up your ownin embarrassment ,1
the concept behind kung powenter the fist is hilarious ,1
ittoo bad nothing else is ,1
hardman is a gratingmannered onscreen presencewhich is especially unfortunate in light of the fine work done by most of the rest of her cast ,1
el crimen del padre amaro would likely be most effective if used as a tool to rally anticatholic protestors ,1
interesting and thoroughly unfaithful version of carmen,1
a serious movie with serious ideas ,1
but seriouslyfolksit does nt work ,1
therenothing exactly wrong herebut therenot nearly enough thatright ,1
